row,candidate,chamber,incumbent,stateDist,candStem,lname,generalElec,party,nominateAdj,duckM,fname,state,candStemDIME,recipient.cfscore,dwdime,recipient.cfscore.dyn,district,gen.vote.pct,...1,avgIdeal,idealTwitter,idealWeb,twWeight,liberal,conservative,moderate,thetaExternal,thetaStart,sigmaStart,idealWebLibcon,seThetaWebLibcon,wordCountWebLibcon,idealTwitterLibcon,seThetaTwitterLibcon,wordCountTwitterLibcon,partyLeader,followersCampaign,followersOfficial,house,rep,webIdeal,twIdeal,prob,diff,year
1108,August Pfluger,House,0,TX-11,TX-11-pfluger_august-,pfluger,1,R,NA,NA,august,TX,TX-11-pfluger_august-,1.427,1.604,1.44,TX11,79.71,2337,1.09,1.06,1.23,0.81,0,0,0,NA,1.034735001,0.5,1.23,0.0859,302,1.06,0.0127,14906,0,4971,NA,1,1,1.23,1.06,0.86,0.337,2020
1109,Jon Mark Hogg,House,0,TX-11,TX-11-hogg_jonmark-,hogg,1,D,NA,NA,jon,TX,TX-11-hogg_jon-,-0.739,-0.809,-0.739,TX11,18.3,2345,-0.86,-0.96,-0.73,0.56,0,0,0,NA,-0.870059059,0.5,-0.73,0.0495,1387,-0.96,0.0126,20674,0,1613,NA,1,0,-0.73,-0.96,0.19,0.121,2020
1110,Kay Granger,House,1,TX-12,TX-12-granger_kay-,granger,1,R,0.397,1.681438973,kay,TX,TX-12-granger_kay-,0.956,0.944,0.933,TX12,63.72,2351,0.89,0.78,0.96,0.41,0,0,0,0.98,0.975788772,0.5,0.96,0.0302,2273,0.78,0.0117,18651,0,NA,NA,1,1,0.96,0.78,0.81,0.066,2020
1111,Lisa Welch,House,0,TX-12,TX-12-welch_lisa-,welch,1,D,NA,NA,lisa,TX,TX-12-welch_lisa-,-0.96,-1.186,-0.96,TX12,33.04,2352,-0.84,-0.95,-0.76,0.41,0,0,0,NA,-0.870059059,0.5,-0.76,0.05,1373,-0.95,0.0159,11272,0,20773,NA,1,0,-0.76,-0.95,0.2,-0.12,2020
1112,Trey Holcomb,House,0,TX-12,TX-12-holcomb_trey-,holcomb,1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2353,NA,NA,NA,NA,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,NA,NA,NA,NA,2020
1113,Gus Trujillo,House,0,TX-13,TX-13-trujillo_gus-,trujillo,1,D,NA,NA,gus,TX,TX-13-trujillo_gus-,-1.002,-1.049,-1.001,TX13,18.46,2360,-0.87,-0.87,NA,1,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,-0.87,0.0352,2581,0,1268,NA,1,0,NA,-0.87,0.19,-0.132,2020
1114,Ronny Jackson,House,0,TX-13,TX-13-jackson_ronny-,jackson,1,R,NA,NA,ronny,TX,TX-13-jackson_ronny-,1.573,1.704,1.502,TX13,79.38,2369,1.35,1.6,1.22,0.33,0,1,0,1.71,1.71459427,0.5,1.22,0.0533,669,1.6,0.0198,3897,0,94643,NA,1,1,1.22,1.6,0.91,0.223,2020
1115,Adrienne Bell,House,0,TX-14,TX-14-bell_adrienne-,bell,1,D,NA,NA,adrienne,TX,TX-14-bell_adrienne-,-1.011,-1.156,-1.02,TX14,38.36,2372,-1.19,-1.16,-1.3,0.75,1,0,0,-1.66,-1.657822485,0.5,-1.3,0.0641,505,-1.16,0.0127,18139,0,17733,NA,1,0,-1.3,-1.16,0.12,0.179,2020
1116,Randy Weber,House,1,TX-14,TX-14-weber_randy-,weber,1,R,0.709,2.362091764,randy,TX,TX-14-weber_randy-,1.085,1.626,1.089,TX14,61.64,2376,1.37,1.5,1.14,0.65,0,1,0,1.39,1.391028427,0.5,1.14,0.0665,376,1.5,0.0152,8128,0,NA,NA,1,1,1.14,1.5,0.91,-0.285,2020
1117,Monica de la Cruz-Hernandez,House,0,TX-15,TX-15-delacruzhernandez_monica-,dela-cruz-hernandez,1,R,NA,NA,monica,TX,TX-15-dela-cruz-hernandez_monica-,1.501,1.196,1.44,TX15,47.62,2379,1.25,1.31,1.08,0.72,0,0,0,NA,1.034735001,0.5,1.08,0.0591,486,1.31,0.0127,14529,0,5962,NA,1,1,1.08,1.31,0.89,0.251,2020
1118,Vicente Gonzalez,House,1,TX-15,TX-15-gonzalez_vicente-,gonzalez,1,D,-0.378,-0.736757081,vicente,TX,TX-15-gonzalez_vicente-,-0.296,-0.969,-0.187,TX15,50.5,2382,-0.53,-0.6,-0.44,0.58,0,0,0,-0.58,-0.575880631,0.5,-0.44,0.0565,830,-0.6,0.0149,13340,0,NA,7478,1,0,-0.44,-0.6,0.3,0.234,2020
1119,Irene Jackson,House,0,TX-16,TX-16-jackson_irene-,armendariz-jackson,1,R,NA,NA,irene,TX,TX-16-armendariz-jackson_irene-,1.552,1.74,1.554,TX16,35.28,2385,1.45,1.64,1.04,0.69,0,0,0,NA,1.034735001,0.5,1.04,0.0628,559,1.64,0.0106,14675,0,15788,NA,1,1,1.04,1.64,0.93,0.102,2020
1120,Veronica Escobar,House,1,TX-16,TX-16-escobar_veronica-,escobar,1,D,-0.502,-1.631951441,veronica,TX,TX-16-escobar_veronica-,-0.482,-1.274,-0.42,TX16,64.72,2389,-0.97,-0.99,-0.91,0.8,0,0,0,-1.05,-1.050723665,0.5,-0.91,0.0583,875,-0.99,0.0083,42164,0,34170,NA,1,0,-0.91,-0.99,0.17,0.488,2020
1121,Pete Sessions,House,0,TX-17,TX-17-sessions_pete-,sessions,1,R,NA,NA,pete,TX,TX-17-sessions_pete-,1.14,1.257,1.204,TX17,55.85,2397,1.18,1.35,1.15,0.15,0,0,0,NA,1.034735001,0.5,1.15,0.0399,1221,1.35,0.0302,2458,0,NA,32383,1,1,1.15,1.35,0.88,-0.04,2020
1122,Rick Kennedy,House,0,TX-17,TX-17-kennedy_rick-,kennedy,1,D,NA,NA,richard,TX,TX-17-kennedy_richard-,-0.99,-1.167,-0.986,TX17,40.92,2399,-0.78,-0.93,-0.72,0.29,0,0,0,NA,-0.870059059,0.5,-0.72,0.0444,1703,-0.93,0.0203,8364,0,5074,NA,1,0,-0.72,-0.93,0.22,-0.21,2020
1123,Sheila Jackson Lee,House,1,TX-18,TX-18-jacksonlee_sheila-,lee,1,D,-0.46,-1.650119248,sheila,TX,TX-18-lee_sheila-,-0.351,-1.303,-0.483,TX18,73.29,2412,-1.14,-1.11,-1.16,0.47,0,0,0,-1.07,-1.071289049,0.5,-1.16,0.0366,2098,-1.11,0.0117,21632,0,NA,96700,1,0,-1.16,-1.11,0.13,0.789,2020
1124,Wendell Champion,House,0,TX-18,TX-18-champion_wendell-,champion,1,R,NA,NA,wendell,TX,TX-18-champion_wendell-,1.513,1.495,1.513,TX18,23.51,2416,1.15,1.23,1.13,0.21,0,0,0,NA,1.034735001,0.5,1.13,0.0399,1332,1.23,0.0277,4143,0,2189,NA,1,1,1.13,1.23,0.87,0.363,2020
1125,Jodey Arrington,House,1,TX-19,TX-19-arrington_jodey-,arrington,1,R,0.625,2.222664496,jodey,TX,TX-19-arrington_jodey-,1.217,1.43,1.262,TX19,74.78,2417,1.26,1.28,1.15,0.84,0,0,0,1.31,1.309951473,0.5,1.15,0.0802,261,1.28,0.0111,16059,0,3697,17271,1,1,1.15,1.28,0.9,-0.043,2020
1126,Tom Watson,House,0,TX-19,TX-19-watson_tom-,watson,1,D,NA,NA,thomas,TX,TX-19-watson_thomas-,-0.922,-1.148,-0.922,TX19,22.86,2418,-0.86,-0.97,-0.47,0.77,0,0,0,NA,-0.870059059,0.5,-0.47,0.1122,253,-0.97,0.0174,9993,0,1131,NA,1,0,-0.47,-0.97,0.19,-0.062,2020
1127,Joaquin Castro,House,1,TX-20,TX-20-castro_joaquin-,castro,1,D,-0.398,-1.938112426,joaquin,TX,TX-20-castro_joaquin-,-0.688,-1.12,-0.936,TX20,64.67,2423,-1.21,-1.24,-1.06,0.86,0,0,0,-1.23,-1.230111821,0.5,-1.06,0.0924,323,-1.24,0.0106,22910,0,55488,NA,1,0,-1.06,-1.24,0.11,0.522,2020
1128,Mauro Garza,House,0,TX-20,TX-20-garza_mauro-,garza,1,R,NA,NA,mauro,TX,TX-20-garza_mauro-,1.647,1.336,1.728,TX20,33.11,2425,1.13,NA,1.13,0,0,0,0,NA,1.034735001,0.5,1.13,0.1005,202,NA,NA,NA,0,NA,NA,1,1,1.13,NA,0.87,0.517,2020
1129,Chip Roy,House,1,TX-21,TX-21-roy_chip-,roy,1,R,0.8,2.868818559,chip,TX,TX-21-roy_chip-,1.512,1.782,1.496,TX21,51.95,2428,1.74,1.74,1.73,0.8,0,1,0,1.69,1.692785065,0.5,1.73,0.0386,835,1.74,0.0061,40379,0,34129,NA,1,1,1.73,1.74,0.96,-0.228,2020
1130,Wendy Davis,House,0,TX-21,TX-21-davis_wendy-,davis,1,D,NA,NA,wendy,TX,TX-21-davis_wendy-,-0.97,-0.936,-1.053,TX21,45.35,2431,-0.69,-0.81,-0.54,0.54,0,0,0,NA,-0.870059059,0.5,-0.54,0.0506,1174,-0.81,0.0133,16523,0,212128,NA,1,0,-0.54,-0.81,0.25,-0.28,2020
1131,Sri Preston Kulkarni,House,0,TX-22,TX-22-kulkarni_sripreston-,kulkarni,1,D,NA,NA,i preston,TX,TX-22-kulkarni_i preston-,-0.806,-0.888,-0.81,TX22,44.6,2449,-0.86,-0.96,-0.7,0.61,0,0,0,NA,-0.870059059,0.5,-0.7,0.0581,882,-0.96,0.0134,15917,0,15782,NA,1,0,-0.7,-0.96,0.19,0.054,2020
1132,Troy Nehls,House,0,TX-22,TX-22-nehls_troy-,nehls,1,R,NA,NA,troy,TX,TX-22-nehls_troy-,1.293,1.255,1.35,TX22,51.53,2450,0.98,1.38,0.86,0.24,0,0,0,NA,1.034735001,0.5,0.86,0.0622,566,1.38,0.0317,2106,0,11322,NA,1,1,0.86,1.38,0.84,0.313,2020
1133,Gina Ortiz Jones,House,0,TX-23,TX-23-jones_ginaortiz-,jones,1,D,NA,NA,gina,TX,TX-23-jones_gina-,-0.928,-0.858,-0.93,TX23,46.6,2457,-0.65,-0.72,-0.54,0.61,0,0,0,NA,-0.870059059,0.5,-0.54,0.0546,947,-0.72,0.013,17071,0,42088,NA,1,0,-0.54,-0.72,0.26,-0.278,2020
1134,Tony Gonzales,House,0,TX-23,TX-23-gonzales_tony-,gonzales,1,R,NA,NA,ernest,TX,TX-23-gonzales_ernest-,1.247,0.732,1.312,TX23,50.56,2464,1.24,1.27,1.19,0.58,0,0,0,NA,1.034735001,0.5,1.19,0.0592,557,1.27,0.0153,9215,0,5943,NA,1,1,1.19,1.27,0.89,0.007,2020
1135,Beth Van Duyne,House,0,TX-24,TX-24-vanduyne_beth-,vanduyne,1,R,NA,NA,elizabeth,TX,TX-24-vanduyne_elizabeth-,1.314,1.344,1.343,TX24,48.81,2465,1.15,1.3,1.07,0.36,0,0,0,NA,1.034735001,0.5,1.07,0.0369,1593,1.3,0.014,10433,0,17441,NA,1,1,1.07,1.3,0.87,0.164,2020
1136,Candace Valenzuela,House,0,TX-24,TX-24-valenzuela_candace-,valenzuela,1,D,NA,NA,candace,TX,TX-24-valenzuela_candace-,-0.966,-0.933,-0.966,TX24,47.48,2466,-0.88,-0.97,-0.76,0.56,0,0,0,NA,-0.870059059,0.5,-0.76,0.0446,1950,-0.97,0.01,28881,0,25375,NA,1,0,-0.76,-0.97,0.19,-0.086,2020
1137,Steve Kuzmich,House,0,TX-24,TX-24-kuzmich_steve-,kuzmich,1,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2476,NA,NA,NA,NA,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,NA,NA,NA,NA,2020
1138,Julie Oliver,House,0,TX-25,TX-25-oliver_julie-,oliver,1,D,NA,NA,julie,TX,TX-25-oliver_julie-,-0.994,-1.059,-1.007,TX25,42.11,2479,-1.24,-1.39,-1.17,0.32,0,0,0,NA,-0.870059059,0.5,-1.17,0.0179,7732,-1.39,0.0071,42697,0,40409,NA,1,0,-1.17,-1.39,0.11,0.246,2020
1139,Roger Williams,House,1,TX-25,TX-25-williams_roger-,williams,1,R,0.587,1.984381079,roger,TX,TX-25-williams_roger-,1.219,1.314,1.298,TX25,55.93,2481,0.95,0.95,NA,1,0,0,0,1.16,1.16379209,0.5,NA,NA,NA,0.95,0.0109,20220,0,NA,15268,1,1,NA,0.95,0.83,0.269,2020
1140,Carol Iannuzzi,House,0,TX-26,TX-26-iannuzzi_carol-,iannuzzi,1,D,NA,NA,carol,TX,TX-26-iannuzzi_carol-,-1.09,-1.139,-1.09,TX26,37.25,2482,-1.09,-1.09,NA,1,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,-1.09,0.0677,814,0,3556,NA,1,0,NA,-1.09,0.14,0,2020
1141,Michael Burgess,House,1,TX-26,TX-26-burgess_michael-,burgess,1,R,0.577,2.130467578,michael,TX,TX-26-burgess_michael-,1.234,1.387,1.071,TX26,60.61,2487,1.04,0.94,1.26,0.68,0,0,0,1.25,1.252812342,0.5,1.26,0.0426,1120,0.94,0.0091,27561,0,NA,32766,1,1,1.26,0.94,0.85,0.194,2020
1142,Michael Cloud,House,1,TX-27,TX-27-cloud_michael-,cloud,1,R,0.647,2.289221452,michael,TX,TX-27-cloud_michael-,1.337,1.672,1.281,TX27,63.06,2490,1.35,1.26,1.39,0.31,0,0,0,1.34,1.344750006,0.5,1.39,0.0437,906,1.26,0.0201,4886,0,1829,NA,1,1,1.39,1.26,0.91,-0.013,2020
1143,Ricardo de la FuenteTX,House,0,TX-27,TX-27-delafuenteTX_ricardo-,dela-fuente,1,D,NA,NA,ricardo,TX,TX-27-dela-fuente_ricardo-,0.244,NA,0.244,TX27,34.94,2491,-0.78,-0.78,-0.78,0.17,0,0,0,NA,-0.870059059,0.5,-0.78,0.0646,759,-0.78,0.0415,1808,0,3075,NA,1,0,-0.78,-0.78,0.22,1.024,2020
1144,Henry Cuellar,House,1,TX-28,TX-28-cuellar_henry-,cuellar,1,D,-0.227,-0.402120888,roberto,TX,TX-28-cuellar_roberto-,0.332,-0.613,0.391,TX28,58.3,2492,-0.39,-0.37,-0.55,0.9,0,0,1,-0.37,-0.374804066,0.5,-0.55,0.1307,206,-0.37,0.011,21594,0,968,NA,1,0,-0.55,-0.37,0.35,0.722,2020
1145,Sandra Whitten,House,0,TX-28,TX-28-whitten_sandra-,whitten,1,R,NA,NA,sandra,TX,TX-28-whitten_sandra-,1.504,1.76,1.474,TX28,38.98,2494,1.1,1.41,0.99,0.27,0,0,0,NA,1.034735001,0.5,0.99,0.084,277,1.41,0.0436,1227,0,506,NA,1,1,0.99,1.41,0.86,0.404,2020
1146,Jaimy Blanco,House,0,TX-29,TX-29-blanco_jaimy-,blanco,1,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2495,1.49,1.73,1.08,0.62,0,0,0,NA,1.034735001,0.5,1.08,0.0672,372,1.73,0.0139,7260,0,23907,NA,1,1,1.08,1.73,0.93,NA,2020
1147,Sylvia Garcia,House,1,TX-29,TX-29-garcia_sylvia-,garcia,1,D,-0.762,-1.368640105,sylvia,TX,TX-29-garcia_sylvia-,-0.454,-1.661,-0.646,TX29,71.13,2497,-1,-0.97,-1.17,0.84,0,0,0,-0.93,-0.925826923,0.5,-1.17,0.0616,646,-0.97,0.0087,39850,0,19300,NA,1,0,-1.17,-0.97,0.16,0.546,2020
1148,Eddie Bernice Johnson,House,1,TX-30,TX-30-johnson_eddiebernice-,johnson,1,D,-0.485,-1.323022973,eddie,TX,TX-30-johnson_eddie-,-0.311,-1.27,-0.505,TX30,77.49,2499,-0.96,-0.62,-1.02,0.16,0,0,0,-0.89,-0.893228769,0.5,-1.02,0.038,2346,-0.62,0.0239,5153,0,NA,34916,1,0,-1.02,-0.62,0.17,0.649,2020
1149,Tre Pennie,House,0,TX-30,TX-30-pennie_tre-,pennie,1,R,NA,NA,demetrick,TX,TX-30-pennie_demetrick-,1.437,1.592,1.442,TX30,18.41,2502,1.1,1.2,1.03,0.38,0,0,0,NA,1.034735001,0.5,1.03,0.0394,1256,1.2,0.0165,9244,0,2421,NA,1,1,1.03,1.2,0.86,0.337,2020
1150,Donna Imam,House,0,TX-31,TX-31-imam_donna-,imam,1,D,NA,NA,donna,TX,TX-31-imam_donna-,-1.039,-1.263,-1.036,TX31,44.29,2507,-1.2,-1.37,-0.76,0.73,0,0,0,NA,-0.870059059,0.5,-0.76,0.0614,908,-1.37,0.0092,28180,0,24168,NA,1,0,-0.76,-1.37,0.12,0.161,2020
1151,John Carter,House,1,TX-31,TX-31-carter_john-,carter,1,R,0.473,1.890227583,john,TX,TX-31-carter_john-,1.173,1.034,1.303,TX31,53.43,2509,0.97,0.92,1.09,0.71,0,0,0,1.11,1.107054616,0.5,1.09,0.0503,741,0.92,0.011,21251,0,8690,NA,1,1,1.09,0.92,0.83,0.203,2020
1152,Colin Allred,House,1,TX-32,TX-32-allred_colin-,allred,1,D,-0.443,-0.82076506,colin,TX,TX-32-allred_colin-,-1.003,-1.123,-0.889,TX32,51.95,2513,-0.28,-0.27,-0.37,0.85,0,0,0,-0.61,-0.609499406,0.5,-0.37,0.0665,597,-0.27,0.0075,41302,0,25911,NA,1,0,-0.37,-0.27,0.39,-0.723,2020
1153,Genevieve Collins,House,0,TX-32,TX-32-collins_genevieve-,collins,1,R,NA,NA,genevieve,TX,TX-32-collins_genevieve-,1.335,1.397,1.335,TX32,45.93,2515,NA,NA,NA,NA,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,0,17271,NA,1,1,NA,NA,NA,NA,2020
1154,Fabian Vasquez,House,0,TX-33,TX-33-vasquez_fabian-,vasquez,1,R,NA,NA,fabian,TX,TX-33-vasquez_fabian-,1.595,NA,1.595,TX33,25.15,2519,1.26,1.56,1.24,0.05,0,0,0,NA,1.034735001,0.5,1.24,0.0556,623,1.56,0.0702,384,0,605,NA,1,1,1.24,1.56,0.9,0.335,2020
1155,Marc Veasey,House,1,TX-33,TX-33-veasey_marc-,veasey,1,D,-0.403,-1.09548272,marc,TX,TX-33-veasey_marc-,-0.474,-1.142,-0.576,TX33,66.82,2520,-0.88,-0.83,-0.93,0.52,0,0,0,-0.76,-0.762600716,0.5,-0.93,0.0453,1512,-0.83,0.0122,19510,0,6507,NA,1,0,-0.93,-0.83,0.19,0.406,2020
1156,Filemon Vela,House,1,TX-34,TX-34-velajr_filemon-,vela,1,D,-0.312,-1.171108975,filemon,TX,TX-34-vela_filemon-,-0.162,-0.903,-0.279,TX34,55.43,2523,-0.6,-0.5,-0.85,0.72,0,0,0,-0.82,-0.817127965,0.5,-0.85,0.0821,442,-0.5,0.0149,13142,0,945,NA,1,0,-0.85,-0.5,0.27,0.438,2020
1157,Rey Gonzalez,House,0,TX-34,TX-34-gonzalez_rey-,gonzalez,1,R,NA,NA,rey,TX,TX-34-gonzalez_rey-,1.342,NA,1.411,TX34,41.84,2525,1.01,NA,1.01,0,0,0,0,NA,1.034735001,0.5,1.01,0.0554,523,NA,NA,NA,0,NA,NA,1,1,1.01,NA,0.84,0.332,2020
1158,Jason Mata,House,0,TX-35,TX-35-mata_jason-,mata,1,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2528,0.47,0.47,NA,1,0,0,0,NA,0,0.5,NA,NA,NA,0.47,0.1101,1082,0,423,NA,1,0,NA,0.47,0.68,NA,2020
1159,Jenny Sharon,House,0,TX-35,TX-35-sharon_jenny-,sharon,1,R,NA,NA,jennifer,TX,TX-35-sharon_jennifer-,1.594,NA,1.578,TX35,29.95,2529,1.55,1.77,1.24,0.58,0,0,0,NA,1.034735001,0.5,1.24,0.048,742,1.77,0.0105,12299,0,2638,NA,1,1,1.24,1.77,0.94,0.044,2020
1160,Lloyd Doggett,House,1,TX-35,TX-35-doggett_lloyd-,doggett,1,D,-0.403,-2.037987051,lloyd,TX,TX-35-doggett_lloyd-,-0.785,-1.098,-0.933,TX35,65.37,2530,-1.09,-1.07,-1.14,0.66,1,0,0,-1.28,-1.284077504,0.5,-1.14,0.0369,1919,-1.07,0.0081,44607,0,3212,NA,1,0,-1.14,-1.07,0.14,0.305,2020
1161,Brian Babin,House,1,TX-36,TX-36-babin_brian-,babin,1,R,0.698,2.310069582,brian,TX,TX-36-babin_brian-,1.206,1.613,1.242,TX36,73.61,2533,1.51,1.55,1.42,0.71,0,0,0,1.36,1.36360704,0.5,1.42,0.0452,790,1.55,0.0084,22844,0,2233,NA,1,1,1.42,1.55,0.93,-0.304,2020
1162,Rashad Lewis,House,0,TX-36,TX-36-lewis_rashad-,lewis,1,D,NA,NA,brandon,TX,TX-36-lewis_brandon-,-1.027,-1.145,-1.027,TX36,24.27,2534,-0.52,-1.04,-0.49,0.05,0,0,0,NA,-0.870059059,0.5,-0.49,0.0723,562,-1.04,0.0894,335,0,390,NA,1,0,-0.49,-1.04,0.3,-0.507,2020
1163,Blake Moore,House,0,UT-01,UT-01-moore_blake-,moore,1,R,NA,NA,blake,UT,UT-01-moore_blake-,0.854,0.855,0.911,UT01,69.52,2554,1,0.93,1.01,0.1,0,0,0,NA,1.034735001,0.5,1.01,0.0438,1137,0.93,0.0432,1438,0,1101,NA,1,1,1.01,0.93,0.84,-0.146,2020
1164,Darren Parry,House,0,UT-01,UT-01-parry_darren-,parry,1,D,NA,NA,darren,UT,UT-01-parry_darren-,-0.755,-1.005,-0.755,UT01,30.43,2557,-0.66,-0.49,-0.66,0.02,0,0,0,NA,-0.870059059,0.5,-0.66,0.0498,1428,-0.49,0.1098,313,0,3023,NA,1,0,-0.66,-0.49,0.25,-0.095,2020
1165,Chris Stewart,House,1,UT-02,UT-02-stewart_chris-,stewart,1,R,0.529,1.890674487,chris,UT,UT-02-stewart_chris-,1,1.116,1.023,UT02,59,2568,1.24,1.23,1.27,0.79,0,0,0,1.11,1.105769974,0.5,1.27,0.0914,239,1.23,0.0137,10742,0,3103,NA,1,1,1.27,1.23,0.89,-0.24,2020
1166,Kael Weston,House,0,UT-02,UT-02-weston_kael-,weston,1,D,NA,NA,john,UT,UT-02-weston_john-,-0.776,-0.678,-0.776,UT02,36.63,2569,-0.9,-0.88,-0.9,0.22,0,0,0,NA,-0.870059059,0.5,-0.9,0.0319,3342,-0.88,0.0174,10827,0,3640,NA,1,0,-0.9,-0.88,0.18,0.124,2020
1167,Devin Thorpe,House,0,UT-03,UT-03-thorpe_devin-,thorpe,1,D,NA,NA,devin,UT,UT-03-thorpe_devin-,-0.808,-0.901,-0.808,UT03,26.77,2574,-0.9,-1.02,-0.78,0.5,0,0,0,NA,-0.870059059,0.5,-0.78,0.0359,2466,-1.02,0.0109,28689,0,41396,NA,1,0,-0.78,-1.02,0.18,0.092,2020
1168,John Curtis,House,1,UT-03,UT-03-curtis_john-,curtis,1,R,0.542,1.908316609,john,UT,UT-03-curtis_john-,0.757,0.9,0.887,UT03,68.73,2575,0.93,0.87,1.05,0.69,0,0,0,1.12,1.118236518,0.5,1.05,0.0514,702,0.87,0.0114,18635,0,7436,NA,1,1,1.05,0.87,0.82,-0.173,2020
1169,Ben McAdams,House,1,UT-04,UT-04-mcadams_ben-,mcadams,1,D,-0.067,0.056090982,ben,UT,UT-04-mcadams_ben-,-0.646,-0.474,-0.674,UT04,46.7,2578,-0.32,-0.54,-0.28,0.15,0,0,1,-0.08,-0.083814041,0.5,-0.28,0.0526,876,-0.54,0.0404,1840,0,19032,NA,1,0,-0.28,-0.54,0.37,-0.326,2020
1170,Burgess Owens,House,0,UT-04,UT-04-owens_burgess-,owens,1,R,NA,NA,burgess,UT,UT-04-owens_burgess-,1.443,1.139,1.469,UT04,47.7,2579,1.31,1.58,1.1,0.44,0,1,0,1.71,1.71459427,0.5,1.1,0.0331,2233,1.58,0.0092,20238,0,264984,NA,1,1,1.1,1.58,0.9,0.133,2020
1171,Jonia Broderick,House,0,UT-04,UT-04-broderick_jonia-,broderick,1,UUP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2584,NA,NA,NA,NA,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,NA,NA,NA,NA,2020
1172,Qasim Rashid,House,0,VA-01,VA-01-rashid_qasim-,rashid,1,D,NA,NA,qasim,VA,VA-01-rashid_qasim-,-1.006,-1.142,-1.007,VA01,41.71,2591,-1.01,NA,-1.01,0,0,0,0,NA,-0.870059059,0.5,-1.01,0.0279,3467,NA,NA,NA,0,300565,NA,1,0,-1.01,NA,0.16,0.004,2020
1173,Rob Wittman,House,1,VA-01,VA-01-wittman_rob-,wittman,1,R,0.444,1.916731708,robert,VA,VA-01-wittman_robert-,0.946,0.87,1.013,VA01,58.15,2592,0.91,0.73,1.04,0.41,0,0,0,1.12,1.122543588,0.5,1.04,0.0244,3272,0.73,0.0097,27040,0,1473,NA,1,1,1.04,0.73,0.82,0.036,2020
1174,Elaine Luria,House,1,VA-02,VA-02-luria_elaine-,luria,1,D,-0.178,-0.262529483,elaine,VA,VA-02-luria_elaine-,-0.823,-0.684,-0.812,VA02,51.55,2596,-0.13,-0.12,-0.16,0.69,0,0,1,-0.28,-0.2765223,0.5,-0.16,0.0354,1679,-0.12,0.0067,44024,0,37187,NA,1,0,-0.16,-0.12,0.45,-0.693,2020
1175,Scott Taylor,House,0,VA-02,VA-02-taylor_scott-,taylor,1,R,NA,NA,scott,VA,VA-02-taylor_scott-,1.299,0.972,1.337,VA02,45.81,2599,1.58,1.58,NA,1,0,0,0,NA,1.034735001,0.5,NA,NA,NA,1.58,0.0092,19590,0,18464,NA,1,1,NA,1.58,0.94,-0.281,2020
1176,Bobby Scott,House,1,VA-03,VA-03-scott_bobby-,scott,1,D,-0.45,-1.083942492,robert,VA,VA-03-scott_robert-,-0.651,-1.255,-0.683,VA03,68.35,2600,-0.81,-0.64,-0.88,0.31,0,0,0,-0.76,-0.760262484,0.5,-0.88,0.0383,2152,-0.64,0.0161,11166,0,3276,NA,1,0,-0.88,-0.64,0.21,0.159,2020
1177,John Collick,House,0,VA-03,VA-03-collick_john-,collick,1,R,NA,NA,john,VA,VA-03-collick_john-,1.579,1.328,1.579,VA03,31.43,2603,1.2,1.4,1.19,0.04,0,0,0,NA,1.034735001,0.5,1.19,0.0729,443,1.4,0.0882,230,0,297,NA,1,1,1.19,1.4,0.88,0.379,2020
1178,Donald McEachin,House,1,VA-04,VA-04-mceachin_donald-,mceachin,1,D,-0.377,-1.095117599,aston,VA,VA-04-mceachin_aston-,-0.672,-1.053,-0.737,VA04,61.62,2606,-0.85,-0.78,-1.17,0.81,0,0,0,-0.77,-0.767393968,0.5,-1.17,0.0756,411,-0.78,0.0119,20791,0,7495,NA,1,0,-1.17,-0.78,0.2,0.178,2020
1179,Leon Benjamin,House,0,VA-04,VA-04-benjamin_leon-,benjamin,1,R,NA,NA,leon,VA,VA-04-benjamin_leon-,1.452,1.483,1.423,VA04,38.23,2607,1.11,NA,1.11,0,0,0,0,NA,1.034735001,0.5,1.11,0.06,615,NA,NA,NA,0,NA,NA,1,1,1.11,NA,0.87,0.342,2020
1180,Bob Good,House,0,VA-05,VA-05-good_bob-,good,1,R,NA,NA,robert,VA,VA-05-good_robert-,1.488,1.766,1.456,VA05,52.44,2609,1.25,1.46,1.22,0.12,0,0,0,NA,1.034735001,0.5,1.22,0.0368,1457,1.46,0.0276,2322,0,1290,NA,1,1,1.22,1.46,0.89,0.238,2020
